"Fire","X_1","X_2","X_3"
6.2,0.604,29,11.744
9.5,0.765,44,9.323
10.5,0.735,36,9.948
7.7,0.669,37,10.656
8.6,0.814,53,9.73
34.1,0.526,68,8.231
11,0.426,75,21.48
6.9,0.735,18,11.104
7.3,0.901,31,10.694
15.1,0.898,25,9.631
29.1,0.827,34,7.995
2.2,0.402,14,13.722
5.7,0.279,11,16.25
2,0.077,11,13.686
2.5,0.638,22,12.405
7.7,0.669,37,10.656
8.6,0.814,53,9.73
34.1,0.526,68,8.231
11,0.426,75,21.48
6.9,0.735,18,11.104
7.3,0.901,31,10.694
15.1,0.898,25,9.631
29.1,0.827,34,7.995
2.2,0.402,14,13.722
18.5,0.783,22,8.014
23.3,0.79,29,8.177
12.2,0.48,46,8.212
5.6,0.715,23,11.23
21.8,0.731,4,8.33
21.6,0.65,31,5.583
9,0.754,39,8.564
3.6,0.208,15,12.102
5,0.618,32,11.876
28.6,0.781,27,9.742
17.4,0.686,32,7.52
11.3,0.734,34,7.388
3.4,0.02,17,13.842
11.9,0.57,46,11.04
10.5,0.559,42,10.332
10.7,0.675,43,10.908
10.8,0.58,34,11.156
4.8,0.152,19,13.323
10.4,0.408,25,12.96
15.6,0.578,28,11.26
7,0.114,3,10.08
7.1,0.492,23,11.428
4.9,0.466,27,13.731
